,,period,name,degree
JSV@4.0.2,12,2013-01-01,JSV@4.0.2,12
JSV@4.0.2,19,2013-03-01,JSV@4.0.2,19
async@*,23,2013-03-01,async@*,23
commander@1.0.0,47,2013-01-01,commander@1.0.0,47
commander@1.0.0,48,2013-03-01,commander@1.0.0,48
connect@2.4.3,16,2013-03-01,connect@2.4.3,16
detour@0.8.14,16,2013-03-01,detour@0.8.14,16
elementtree@0.1.1,34,2013-03-01,elementtree@0.1.1,34
es5-shim@1.2.10,20,2013-03-01,es5-shim@1.2.10,20
express@*,11,2013-03-01,express@*,11
jade@0.10.4,10,2013-01-01,jade@0.10.4,10
less@1.0.41,10,2013-01-01,less@1.0.41,10
now@0.5.1,10,2013-01-01,now@0.5.1,10
reaper@0.1.1,15,2013-03-01,reaper@0.1.1,15
reaper@0.2.3,26,2013-01-01,reaper@0.2.3,26
reaper@0.2.3,33,2013-03-01,reaper@0.2.3,33
request@*,26,2013-03-01,request@*,26
resolve@0.2.3,19,2013-01-01,resolve@0.2.3,19
resolve@0.2.3,20,2013-03-01,resolve@0.2.3,20
resorcery@0.1.3,22,2013-03-01,resorcery@0.1.3,22
sax@0.1.2,10,2013-01-01,sax@0.1.2,10
smoosh@0.3.2,35,2013-03-01,smoosh@0.3.2,35
smoosh@0.4.0,12,2013-01-01,smoosh@0.4.0,12
smoosh@0.4.0,13,2013-03-01,smoosh@0.4.0,13
socket.io@0.8.7,11,2013-03-01,socket.io@0.8.7,11
underscore@*,14,2013-01-01,underscore@*,14
underscore@*,20,2013-03-01,underscore@*,20
underscore@1.1.7,11,2013-03-01,underscore@1.1.7,11
underscore@1.3.3,31,2013-01-01,underscore@1.3.3,31
underscore@1.3.3,38,2013-03-01,underscore@1.3.3,38
walk@2.1.1,27,2013-03-01,walk@2.1.1,27
