,,period,name,degree
CSSselect@0.4.0,0.00016345551306941506,2015-06-01,CSSselect@0.4.0,0.00016345551306941506
CSSselect@0.4.0,0.0001775549340146118,2015-03-01,CSSselect@0.4.0,0.0001775549340146118
CSSselect@0.4.0,0.00018092894703055737,2017-01-01,CSSselect@0.4.0,0.00018092894703055737
CSSselect@0.4.0,0.00021355092442653864,2016-09-01,CSSselect@0.4.0,0.00021355092442653864
CSSselect@0.4.0,0.0002138482530352654,2014-06-01,CSSselect@0.4.0,0.0002138482530352654
CSSselect@0.4.0,0.0002448818934183353,2016-06-01,CSSselect@0.4.0,0.0002448818934183353
CSSselect@0.4.0,0.0002846494328061647,2015-01-01,CSSselect@0.4.0,0.0002846494328061647
CSSwhat@0.4,0.00017184646123097466,2015-09-01,CSSwhat@0.4,0.00017184646123097466
CSSwhat@0.4,0.00019638612031497212,2015-06-01,CSSwhat@0.4,0.00019638612031497212
CSSwhat@0.4,0.00021570533463380006,2015-03-01,CSSwhat@0.4,0.00021570533463380006
JSONStream@0.4.3,0.0001871511268147434,2013-09-01,JSONStream@0.4.3,0.0001871511268147434
JSONStream@0.4.3,0.0002274460815377209,2013-06-01,JSONStream@0.4.3,0.0002274460815377209
JSONStream@0.6.4,0.00017645335402294025,2014-03-01,JSONStream@0.6.4,0.00017645335402294025
JSONStream@0.6.4,0.00017944238748109951,2013-09-01,JSONStream@0.6.4,0.00017944238748109951
JSONStream@0.6.4,0.00020019668439136767,2014-01-01,JSONStream@0.6.4,0.00020019668439136767
JSONStream@0.7.1,0.0001558802911704361,2014-06-01,JSONStream@0.7.1,0.0001558802911704361
JSONStream@0.7.1,0.00018143235619772613,2014-04-01,JSONStream@0.7.1,0.00018143235619772613
JSONStream@0.7.1,0.00018920591622765797,2014-03-01,JSONStream@0.7.1,0.00018920591622765797
JSV@4.0.0,0.0001702192183732773,2013-06-01,JSV@4.0.0,0.0001702192183732773
JSV@4.0.0,0.00026468494344802126,2013-03-01,JSV@4.0.0,0.00026468494344802126
JSV@4.0.0,0.0003417831211577435,2013-01-01,JSV@4.0.0,0.0003417831211577435
MD5@1.2.1,0.00015243003738514677,2015-03-01,MD5@1.2.1,0.00015243003738514677
MD5@1.2.1,0.00015904113355000435,2015-09-01,MD5@1.2.1,0.00015904113355000435
MD5@1.2.1,0.00017707596604138283,2015-06-01,MD5@1.2.1,0.00017707596604138283
abbrev@1,0.0005928061271309065,2017-01-01,abbrev@1,0.0005928061271309065
abbrev@1,0.0006333072110320274,2016-09-01,abbrev@1,0.0006333072110320274
abbrev@1,0.0006591812488916562,2016-06-01,abbrev@1,0.0006591812488916562
abbrev@1,0.0009518073979646699,2015-01-01,abbrev@1,0.0009518073979646699
abbrev@1,0.0009570018968913087,2016-03-01,abbrev@1,0.0009570018968913087
abbrev@1,0.001001991370854894,2016-01-01,abbrev@1,0.001001991370854894
abbrev@1,0.001072192806803493,2015-09-01,abbrev@1,0.001072192806803493
abbrev@1,0.001074402921968906,2013-03-01,abbrev@1,0.001074402921968906
abbrev@1,0.0011400751932365075,2015-06-01,abbrev@1,0.0011400751932365075
abbrev@1,0.001148590179287158,2014-06-01,abbrev@1,0.001148590179287158
abbrev@1,0.0011664272224455247,2015-03-01,abbrev@1,0.0011664272224455247
abbrev@1,0.001177354563076061,2013-09-01,abbrev@1,0.001177354563076061
abbrev@1,0.0011924491333193893,2013-06-01,abbrev@1,0.0011924491333193893
abbrev@1,0.0012184265137936074,2014-01-01,abbrev@1,0.0012184265137936074
abbrev@1,0.0012491289172273962,2014-04-01,abbrev@1,0.0012491289172273962
abbrev@1,0.0012575970566141908,2013-01-01,abbrev@1,0.0012575970566141908
abbrev@1,0.0012676722175211559,2014-03-01,abbrev@1,0.0012676722175211559
active-x-obfuscator@0.0.1,0.00016172178617275497,2015-03-01,active-x-obfuscator@0.0.1,0.00016172178617275497
active-x-obfuscator@0.0.1,0.00021534900130149774,2014-06-01,active-x-obfuscator@0.0.1,0.00021534900130149774
active-x-obfuscator@0.0.1,0.00024688617911842304,2014-04-01,active-x-obfuscator@0.0.1,0.00024688617911842304
active-x-obfuscator@0.0.1,0.0002518011274315573,2014-03-01,active-x-obfuscator@0.0.1,0.0002518011274315573
active-x-obfuscator@0.0.1,0.00025999969345316497,2014-01-01,active-x-obfuscator@0.0.1,0.00025999969345316497
active-x-obfuscator@0.0.1,0.0002832785061425613,2013-09-01,active-x-obfuscator@0.0.1,0.0002832785061425613
active-x-obfuscator@0.0.1,0.00029297734032336046,2013-03-01,active-x-obfuscator@0.0.1,0.00029297734032336046
active-x-obfuscator@0.0.1,0.0002964674041784326,2013-06-01,active-x-obfuscator@0.0.1,0.0002964674041784326
active-x-obfuscator@0.0.1,0.000306068828321451,2013-01-01,active-x-obfuscator@0.0.1,0.000306068828321451
adm-zip@0.4.3,0.0001963113490649493,2014-06-01,adm-zip@0.4.3,0.0001963113490649493
adm-zip@0.4.3,0.00025486170998793243,2014-04-01,adm-zip@0.4.3,0.00025486170998793243
adm-zip@0.4.3,0.0002678075168251322,2014-03-01,adm-zip@0.4.3,0.0002678075168251322
